managementgroups,Management Groups API,The Azure Management Groups API enables consolidation of multiple 
subscriptions/resources into an organizational hierarchy and centrally 
manage access control, policies, alerting and reporting for those resources.
,2021-04-01
managementpartner,ACE Provisioning ManagementPartner API,This API describe ACE Provisioning ManagementPartner,2018-02-01
maps,Azure Maps Resource Provider,Resource Provider,2021-12-01-preview
mariadb,MariaDBManagementClient,The Microsoft Azure management API provides create, read, update, and delete functionality for Azure MariaDB resources including servers, databases, firewall rules, VNET rules, security alert policies, log files, encryption keys, active directory administrator and configurations.,2020-01-01
marketplace,Marketplace RP Service,REST APIs for Private Marketplace,2022-03-01
marketplacecatalog,Microsoft Marketplace Search API,undefined,2022-02-02
marketplacenotifications,Microsoft Marketplace Blueprint API,Microsoft Marketplace Blueprint API,2021-03-03
marketplaceordering,MarketplaceOrdering.Agreements,REST API for MarketplaceOrdering Agreements.,2021-01-01
mediaservices,Azure Media Services,This Swagger was generated by the API Framework.,2021-11-01
migrate,Azure Migrate V2,Assess your workloads for Azure.,2019-10-01
migrateprojects,Azure Migrate Hub,Migrate your workloads to Azure.,2018-09-01-preview
mixedreality,Mixed Reality,Mixed Reality Resource Provider Object Anchors Resource API,2021-03-01-preview
mobilenetwork,MobileNetworkManagementClient,The resources in this swagger specification will be used to manage service resources,2022-04-01-preview
monitor,MonitorManagementClient,Azure Monitor client to create/update/delete metric based alerts.,2018-03-01
msi,ManagedServiceIdentityClient,The Managed Service Identity Client.,2022-01-31-preview
mysql,MySQLManagementClient,The Microsoft Azure management API provides create, read, update, and delete functionality for Azure MySQL resources including servers, databases, firewall rules, VNET rules, security alert policies, log files and configurations with new business model.,2018-06-01
netapp,Microsoft NetApp,Microsoft NetApp Azure Resource Provider specification,2022-03-01
network,NetworkManagementClient,The Microsoft Azure Network management API provides a RESTful set of web services that interact with Microsoft Azure Networks service to manage your network resources. The API has entities that capture the relationship between an end user and the Microsoft Azure Networks service.,2022-01-01
networkfunction,Azure Traffic Collector,Azure Traffic Collector service,2022-08-01
nginx,Nginx.NginxPlus,undefined,2021-05-01-preview
notificationhubs,NotificationHubsManagementClient,Azure NotificationHub client,2017-04-01
oep,Open Energy Platform Management Service APIs,Open Energy Platform Management Service APIs,2022-04-04-preview
operationalinsights,Azure Log Analytics,Azure Log Analytics API reference,2020-08-01
operationsmanagement,Azure Log Analytics - Operations Management,Azure Log Analytics API reference for Solution.,2015-11-01-preview
orbital,Azure Orbital,Azure Orbital service.,2022-03-01
peering,PeeringManagementClient,APIs to manage Peering resources through the Azure Resource Manager.,2022-01-01
portal,portal,Manage tenant configuration.,2020-09-01-preview
postgresql,PostgreSQLManagementClient,The Microsoft Azure management API provides create, read, update, and delete functionality for Azure PostgreSQL resources including servers, databases, firewall rules, VNET rules, security alert policies, log files and configurations with new business model.,2021-06-01
postgresqlhsc,HyperscaleCitusManagementClient,The Microsoft Azure management API provides create, read, update, and delete functionality for Azure PostgreSQL Hyperscale (Citus) resources including server groups, servers, databases, firewall rules, VNET rules, security alert policies, log files and configurations.,2020-10-05-privatepreview
powerbidedicated,PowerBIDedicated,PowerBI Dedicated Web API provides a RESTful set of web services that enables users to create, retrieve, update, and delete Power BI dedicated capacities,2021-01-01
powerbiembedded,Power BI Embedded Management Client,Client to manage your Power BI Embedded workspace collections and retrieve workspaces.,2016-01-29
powerbiprivatelinks,PrivateLinkServicesForPowerBIClient,Client to manage Power BI Private Link Service resources and connection members.,2020-06-01
powerplatform,PowerPlatform,undefined,2020-10-30-preview
privatedns,PrivateDnsManagementClient,The Private DNS Management Client.,2020-06-01
providerhub,ProviderHub,Microsoft ProviderHub,2020-11-20
purview,PurviewManagementClient,Creates a Microsoft.Purview management client.,2021-07-01
quantum,Azure Quantum Management Client,undefined,2022-01-10-preview
quota,Azure Quota Extension API,Microsoft Azure Quota Resource Provider,2021-03-15-preview
recommendationsservice,RecommendationsService,Dynamics 365 Recommendations Service resource provider,2022-02-01
recoveryservices,RecoveryServicesClient,undefined,2022-04-01
recoveryservicesbackup,RecoveryServicesBackupClient,undefined,2022-06-01-preview
recoveryservicessiterecovery,SiteRecoveryManagementClient,undefined,2022-05-01
redhatopenshift,Azure Red Hat OpenShift Client,Rest API for Azure Red Hat OpenShift 4,2022-04-01
redis,RedisManagementClient,REST API for Azure Redis Cache Service.,2022-05-01
redisenterprise,RedisEnterpriseManagementClient,REST API for managing Redis Enterprise resources in Azure.,2022-01-01
relay,Relay API,Use these API to manage Azure Relay resources through Azure Resource Manager.,2021-11-01
reservations,Azure Reservation API,This API describe Azure Reservation,2022-03-01
resourceconnector,appliances,The appliances Rest API spec.,2022-04-15-preview
resourcegraph,Azure Resource Graph,Azure Resource Graph API Reference,2021-06-01-preview
resourcehealth,Microsoft.ResourceHealth,The Resource Health Client.,2020-05-01
resourcemover,Resource Mover Service API,A first party Azure service orchestrating the move of Azure resources from one Azure region to another or between zones within a region.,2021-08-01
resources,ChangesClient,The Resource Changes Client,2022-05-01
saas,SaaS,REST APIs for Azure Marketplace SaaS Offers,2018-03-01-beta
scheduler,SchedulerManagementClient,undefined,2016-03-01
scvmm,SCVMM,The Microsoft.ScVmm Rest API spec.,2020-06-05-preview
search,SearchManagementClient,Client that can be used to manage Azure Cognitive Search services and API keys.,2020-08-01
security,Microsoft Defender for Cloud,API spec for Microsoft.Security (Microsoft Defender for Cloud) resource provider,2020-01-01
securityandcompliance,SecurityAndComplianceAPIs,undefined,2021-03-08
securityinsights,Security Insights,API spec for Microsoft.SecurityInsights (Azure Security Insights) resource provider,2022-07-01-preview
serialconsole,MicrosoftSerialConsoleClient,The Azure Serial Console allows you to access the serial console of a Virtual Machine or VM scale set instance,2018-05-01
service-map,Service Map,Service Map API Reference,2015-11-01-preview
servicebus,ServiceBusManagementClient,Azure Service Bus client,2022-01-01-preview
servicefabric,ServiceFabricManagementClient,Azure Service Fabric Resource Provider API Client,2021-06-01
servicefabricmanagedclusters,ServiceFabricManagementClient,Azure Service Fabric Resource Provider API Client,2022-06-01-preview
servicefabricmesh,SeaBreezeManagementClient,APIs to deploy and manage resources to SeaBreeze.,2018-09-01-preview
servicelinker,Microsoft.ServiceLinker,Microsoft.ServiceLinker provider,2022-05-01
signalr,SignalRManagementClient,REST API for Azure SignalR Service,2022-02-01
softwareplan,Software Plan RP,Azure software plans let users create and manage licenses for various software used in Azure.,2019-12-01
solutions,ApplicationClient,ARM applications,2021-07-01
sql,SqlManagementClient,The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQL Database services to manage your databases. The API enables users to create, retrieve, update, and delete databases, servers, and other entities.,2020-11-01-preview
sqlvirtualmachine,SqlVirtualMachineManagementClient,The SQL virtual machine management API provides a RESTful set of web APIs that interact with Azure Compute, Network & Storage services to manage your SQL Server virtual machine. The API enables users to create, delete and retrieve a SQL virtual machine, SQL virtual machine group or availability group listener.,2022-02-01
storSimple1200Series,StorSimpleManagementClient,undefined,2016-10-01
storage,StorageManagementClient,The Azure Storage Management API.,2021-09-01
storagecache,Storage Cache Mgmt Client,A Storage Cache provides scalable caching service for NAS clients, serving data from either NFSv3 or Blob at-rest storage (referred to as "Storage Targets"). These operations allow you to manage Caches.,2022-05-01
storageimportexport,StorageImportExport,The Storage Import/Export Resource Provider API.,2021-01-01
storagemover,StorageMoverClient,The Azure Storage Mover REST API.,2022-07-01-preview
storagepool,StoragePoolManagement,undefined,2021-08-01
storagesync,Microsoft Storage Sync,Microsoft Storage Sync Service API,2020-09-01
storsimple8000series,StorSimple8000SeriesManagementClient,undefined,2017-06-01
streamanalytics,StreamAnalyticsManagementClient,undefined,2020-03-01
subscription,SubscriptionClient,Subscription client provides an interface to create and manage Azure subscriptions programmatically.,2021-10-01
support,Microsoft.Support,Microsoft Azure Support Resource Provider.,2020-04-01
synapse,SynapseManagementClient,undefined,2021-06-01-preview
testbase,Test Base,Test Base,2022-04-01-preview
timeseriesinsights,TimeSeriesInsightsClient,Time Series Insights client,2021-03-31-preview
trafficmanager,TrafficManagerManagementClient,undefined,2018-08-01
vi,vi,Microsoft Azure Video Indexer,2022-08-01
videoanalyzer,Azure Video Analyzer Resource Provider,Azure Video Analyzer resource provider API definition.,2021-11-01-preview
visualstudio,Visual Studio Resource Provider Client,Use these APIs to manage Visual Studio Team Services resources through the Azure Resource Manager. All task operations conform to the HTTP/1.1 protocol specification and each operation returns an x-ms-request-id header that can be used to obtain information about the request. You must make sure that requests made to these resources are secure. For more information, see https://docs.microsoft.com/en-us/rest/api/index.,2014-04-01-preview
vmware,Azure VMware Solution API,Azure VMware Solution API,2021-12-01
vmwarecloudsimple,VMwareCloudSimple,Description of the new service,2019-04-01
web,Common Definitions,undefined,2022-03-01
webpubsub,WebPubSubManagementClient,REST API for Azure WebPubSub Service,2021-10-01
windowsesu,windowsesu,Manage Multi-Access Keys (MAK) that enable Windows Extended Security Updates (ESU).,2019-09-16-preview
windowsiot,DeviceServices,Use this API to manage the Windows IoT device services in your Azure subscription.,2019-06-01
workloadmonitor,Workload Monitor API,Workload Monitor API,2020-01-13-preview
workloads,Workloads Client,The workload SAP monitor Client.,2021-12-01-preview
